address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,price_reduction,price_increase,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"10460 Eton Ave, Chatsworth, CA 91311",91311,SINGLE_FAMILY,FOR_SALE,House for sale,859000.0,691600,,3363,3,2.0,1515,,,,-1,56 days on Zillow,DAYS_ON,20157382,20157382,https://www.zillow.com/homedetails/10460-Eton-Ave-Chatsworth-CA-91311/20157382_zpid/
"8100 Paso Robles Ave, Van Nuys, CA 91406",91406,SINGLE_FAMILY,FOR_SALE,House for sale,762500.0,796200,,3003,3,2.0,1246,,,,-1,57 days on Zillow,DAYS_ON,19954350,19954350,https://www.zillow.com/homedetails/8100-Paso-Robles-Ave-Van-Nuys-CA-91406/19954350_zpid/
"6101 Springvale Dr, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,House for sale,1299000.0,,,4705,6,4.0,1896,,"$11,000 (Dec 17)",-11000,-1,3D Tour,3D_HOME,20771482,20771482,https://www.zillow.com/homedetails/6101-Springvale-Dr-Los-Angeles-CA-90042/20771482_zpid/
"18154 Karen Dr, Tarzana, CA 91356",91356,SINGLE_FAMILY,FOR_SALE,House for sale,1899999.0,1982600,,6799,4,3.0,2332,,,,-1,58 days on Zillow,DAYS_ON,19950520,19950520,https://www.zillow.com/homedetails/18154-Karen-Dr-Tarzana-CA-91356/19950520_zpid/
"12814 Collins St, Valley Village, CA 91607",91607,SINGLE_FAMILY,FOR_SALE,House for sale,1200000.0,1279400,,4553,3,2.0,1760,,,50000,-1,59 days on Zillow,DAYS_ON,20014335,20014335,https://www.zillow.com/homedetails/12814-Collins-St-Valley-Village-CA-91607/20014335_zpid/
"5918 Monte Vista St, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,House for sale,1200000.0,1255506,,4600,3,2.0,1624,,,,-1,59 days on Zillow,DAYS_ON,20770837,20770837,https://www.zillow.com/homedetails/5918-Monte-Vista-St-Los-Angeles-CA-90042/20770837_zpid/
"3009 Eva Ter, Los Angeles, CA 90031",90031,SINGLE_FAMILY,FOR_SALE,House for sale,699000.0,752600,,3893,4,2.0,1504,,"$10,000 (Dec 3)",-10000,-1,3D Tour,3D_HOME,20637891,20637891,https://www.zillow.com/homedetails/3009-Eva-Ter-Los-Angeles-CA-90031/20637891_zpid/
"4428 W 62nd St, Los Angeles, CA 90043",90043,SINGLE_FAMILY,FOR_SALE,House for sale,1100000.0,1100004,,3599,3,2.0,1596,,"$200,000 (Oct 28)",-200000,-1,"$200,000 (Oct 28)",PRICE_REDUCTION,20324853,20324853,https://www.zillow.com/homedetails/4428-W-62nd-St-Los-Angeles-CA-90043/20324853_zpid/
"1746 Lagoon Ave, Wilmington, CA 90744",90744,SINGLE_FAMILY,FOR_SALE,House for sale,764900.0,815600,,3499,3,2.0,1470,,,,-1,60 days on Zillow,DAYS_ON,21295938,21295938,https://www.zillow.com/homedetails/1746-Lagoon-Ave-Wilmington-CA-90744/21295938_zpid/
"20535 Roscoe Blvd, Winnetka, CA 91306",91306,SINGLE_FAMILY,FOR_SALE,House for sale,1498000.0,962900,,3670,4,2.0,1325,,,499000,-1,60 days on Zillow,DAYS_ON,20180551,20180551,https://www.zillow.com/homedetails/20535-Roscoe-Blvd-Winnetka-CA-91306/20180551_zpid/
