address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"5458 Jean Dr, Orlando, FL 32822",32822,SINGLE_FAMILY,FOR_SALE,For sale by owner,93000.0,,,,4.681,1.09,210115,210115,,3,2.0,1850,1991,,12,12 days on Zillow,DAYS_ON,2081557803,2081557803,https://www.zillow.com/homedetails/5458-Jean-Dr-Orlando-FL-32822/2081557803_zpid/
"3788 Southpointe Dr # U-2, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,125000.0,137500,70500,2018,4.681,1.09,115494,115494,1150,2,2.0,820,1988,,12,12 days on Zillow,DAYS_ON,46097101,46097101,https://www.zillow.com/homedetails/3788-Southpointe-Dr-U-2-Orlando-FL-32822/46097101_zpid/
"2711 Willie Mays Pkwy # 3, Orlando, FL 32811",32811,SINGLE_FAMILY,FOR_SALE,House for sale,159000.0,,,,4.062,1.09,149493,149493,,3,2.0,1496,1972,,12,12 days on Zillow,DAYS_ON,2082507176,2082507176,https://www.zillow.com/homedetails/2711-Willie-Mays-Pkwy-3-Orlando-FL-32811/2082507176_zpid/
"7531 Charlin Pkwy, Orlando, FL 32822",32822,MANUFACTURED,FOR_SALE,Home for sale,153000.0,112000,63438,2018,4.062,1.09,,,1350,2,3.0,1210,1997,"$5,000 (Jan 15)",13,"$5,000 (Jan 15)",PRICE_REDUCTION,46127737,46127737,https://www.zillow.com/homedetails/7531-Charlin-Pkwy-Orlando-FL-32822/46127737_zpid/
"6160 Westgate Dr APT 203, Orlando, FL 32835",32835,CONDO,FOR_SALE,Condo for sale,109000.0,134000,57800,2018,4.681,1.09,100875,100875,1050,1,1.0,722,1988,,14,14 days on Zillow,DAYS_ON,71072034,71072034,https://www.zillow.com/homedetails/6160-Westgate-Dr-APT-203-Orlando-FL-32835/71072034_zpid/
"4160 Versailles Dr # 4160D, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,93000.0,2090000,50100,2018,4.681,1.09,86806,86806,1175,2,2.0,1165,1982,,14,14 days on Zillow,DAYS_ON,71083147,71083147,https://www.zillow.com/homedetails/4160-Versailles-Dr-4160D-Orlando-FL-32808/71083147_zpid/
"326 N Lancelot Ave, Orlando, FL 32835",32835,SINGLE_FAMILY,FOR_SALE,House for sale,145990.0,86000,55013,2018,4.062,1.09,135659,135659,1250,3,1.0,912,1959,,14,14 days on Zillow,DAYS_ON,46194918,46194918,https://www.zillow.com/homedetails/326-N-Lancelot-Ave-Orlando-FL-32835/46194918_zpid/
"6081 CRAYFISH DR. Plan, Gulfstream Harbor",32822,SINGLE_FAMILY,FOR_SALE,New construction,147995.0,,,,4.062,1.09,146427,146427,1595,3,2.0,1568,2020,,14,Open: Mon - Fri: 8:00 A...,OPEN_HOUSE,2082215162,2082215162,https://www.zillow.com/community/gulfstream-harbor/2082215162_zpid/
"4363 Aqua Vista Dr # L, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,65000.0,,,,4.681,1.09,64040,64040,,3,2.0,1198,1976,"$4,000 (Jan 17)",15,"$4,000 (Jan 17)",PRICE_REDUCTION,2081587944,2081587944,https://www.zillow.com/homedetails/4363-Aqua-Vista-Dr-L-Orlando-FL-32839/2081587944_zpid/
"1140 S Orlando Ave APT I12, Maitland, FL 32751",32751,CONDO,FOR_SALE,Condo for sale,170000.0,31300,114200,2018,4.062,1.09,160772,160772,1300,2,1.0,816,1971,,15,15 days on Zillow,DAYS_ON,46265393,46265393,https://www.zillow.com/homedetails/1140-S-Orlando-Ave-APT-I12-Maitland-FL-32751/46265393_zpid/
